Argentina	42890368
Buenos Aires	14955536
Cordoba	1733404
Rosario	1390892
Bolivia	10888000
Cochabamba	1240000
La Paz	1100000
Santa Cruz de la Sierra	1929471
Brasil	202450649
Belo Horizonte	5031438
Rio de Janeiro	12902000
Sao Paulo	19889559
Chile	18261884
Concepcion	819051
Santiago	7036792
Valparaiso	817387
Colombia	49364000
Bogota	9450918
Cali	3193854
Medellin	3896757
Ecuador	16298217
Cuenca	329928
Guayaquil	2991061
Quito	2385111
Paraguay	6460000
Asuncion	2053763
Ciudad del Este	296597
Luque	268247
Peru	33151643
Arequipa	869351
Lima	10846411
Trujillo	1392636
Uruguay	3372000
Ciudad de la Costa	95176
Montevideo	2098850
Salto	131231
Venezuela	31028337
Caracas	6569290
Maracaibo	3881099
Valencia	3870000
